date,state,age_group,fertility_rate,year
2008-01-01,W.P. Kuala Lumpur,tfr,1.68,2008
2009-01-01,W.P. Kuala Lumpur,tfr,1.68,2009
2010-01-01,W.P. Kuala Lumpur,tfr,1.55,2010
2011-01-01,W.P. Kuala Lumpur,tfr,1.58,2011
2012-01-01,W.P. Kuala Lumpur,tfr,1.65,2012
2013-01-01,W.P. Kuala Lumpur,tfr,1.52,2013
2014-01-01,W.P. Kuala Lumpur,tfr,1.6,2014
2015-01-01,W.P. Kuala Lumpur,tfr,1.5,2015
2016-01-01,W.P. Kuala Lumpur,tfr,1.51,2016
2017-01-01,W.P. Kuala Lumpur,tfr,1.46,2017
2018-01-01,W.P. Kuala Lumpur,tfr,1.47,2018
2019-01-01,W.P. Kuala Lumpur,tfr,1.68,2019
2020-01-01,W.P. Kuala Lumpur,tfr,1.49,2020
2021-01-01,W.P. Kuala Lumpur,tfr,1.21,2021
2022-01-01,W.P. Kuala Lumpur,tfr,1.19,2022
2023-01-01,W.P. Kuala Lumpur,tfr,1.31,2023
2001-01-01,W.P. Labuan,tfr,2.3,2001
2002-01-01,W.P. Labuan,tfr,2.26,2002
2003-01-01,W.P. Labuan,tfr,2.4,2003
2004-01-01,W.P. Labuan,tfr,2.26,2004
2005-01-01,W.P. Labuan,tfr,2.18,2005
2006-01-01,W.P. Labuan,tfr,2.24,2006
2007-01-01,W.P. Labuan,tfr,2.13,2007
2008-01-01,W.P. Labuan,tfr,2.21,2008
2009-01-01,W.P. Labuan,tfr,2.09,2009
2010-01-01,W.P. Labuan,tfr,1.98,2010
2011-01-01,W.P. Labuan,tfr,2.05,2011
2012-01-01,W.P. Labuan,tfr,2.04,2012
2013-01-01,W.P. Labuan,tfr,2.0,2013
2014-01-01,W.P. Labuan,tfr,2.05,2014
2015-01-01,W.P. Labuan,tfr,2.13,2015
2016-01-01,W.P. Labuan,tfr,1.89,2016
2017-01-01,W.P. Labuan,tfr,1.82,2017
2018-01-01,W.P. Labuan,tfr,1.8,2018
2019-01-01,W.P. Labuan,tfr,1.8,2019
2020-01-01,W.P. Labuan,tfr,1.88,2020
2021-01-01,W.P. Labuan,tfr,1.79,2021
2022-01-01,W.P. Labuan,tfr,1.6,2022
2023-01-01,W.P. Labuan,tfr,1.61,2023
2010-01-01,W.P. Putrajaya,tfr,2.4,2010
2011-01-01,W.P. Putrajaya,tfr,2.65,2011
2012-01-01,W.P. Putrajaya,tfr,2.87,2012
2013-01-01,W.P. Putrajaya,tfr,2.64,2013
2014-01-01,W.P. Putrajaya,tfr,2.85,2014
2015-01-01,W.P. Putrajaya,tfr,2.72,2015
2016-01-01,W.P. Putrajaya,tfr,2.56,2016
2017-01-01,W.P. Putrajaya,tfr,2.56,2017
2018-01-01,W.P. Putrajaya,tfr,2.63,2018
2019-01-01,W.P. Putrajaya,tfr,3.26,2019
2020-01-01,W.P. Putrajaya,tfr,2.78,2020
2021-01-01,W.P. Putrajaya,tfr,1.86,2021
2022-01-01,W.P. Putrajaya,tfr,1.76,2022
2023-01-01,W.P. Putrajaya,tfr,1.79,2023
2001-01-01,Johor,15-19,13.0,2001
2002-01-01,Johor,15-19,11.0,2002
2003-01-01,Johor,15-19,12.0,2003
2004-01-01,Johor,15-19,11.0,2004
2005-01-01,Johor,15-19,11.0,2005
2006-01-01,Johor,15-19,11.0,2006
2007-01-01,Johor,15-19,11.0,2007
2008-01-01,Johor,15-19,12.0,2008
2009-01-01,Johor,15-19,12.0,2009
2010-01-01,Johor,15-19,12.0,2010
2011-01-01,Johor,15-19,12.0,2011
2012-01-01,Johor,15-19,13.0,2012
2013-01-01,Johor,15-19,11.0,2013
2014-01-01,Johor,15-19,11.0,2014
2015-01-01,Johor,15-19,10.0,2015
2016-01-01,Johor,15-19,9.0,2016
2017-01-01,Johor,15-19,8.0,2017
2018-01-01,Johor,15-19,7.41,2018
2019-01-01,Johor,15-19,7.14,2019
2020-01-01,Johor,15-19,6.99,2020
2021-01-01,Johor,15-19,5.07,2021
2022-01-01,Johor,15-19,4.0,2022
2023-01-01,Johor,15-19,6.0,2023
2001-01-01,Kedah,15-19,11.0,2001
2002-01-01,Kedah,15-19,9.0,2002
2003-01-01,Kedah,15-19,9.0,2003
2004-01-01,Kedah,15-19,9.0,2004
2005-01-01,Kedah,15-19,9.0,2005
2006-01-01,Kedah,15-19,8.0,2006
2007-01-01,Kedah,15-19,9.0,2007
2008-01-01,Kedah,15-19,9.0,2008
2009-01-01,Kedah,15-19,10.0,2009
2010-01-01,Kedah,15-19,9.0,2010
2011-01-01,Kedah,15-19,9.0,2011
2012-01-01,Kedah,15-19,9.0,2012
2013-01-01,Kedah,15-19,8.0,2013
2014-01-01,Kedah,15-19,9.0,2014
2015-01-01,Kedah,15-19,8.0,2015
2016-01-01,Kedah,15-19,7.0,2016
2017-01-01,Kedah,15-19,7.0,2017
2018-01-01,Kedah,15-19,6.83,2018
2019-01-01,Kedah,15-19,6.97,2019
2020-01-01,Kedah,15-19,6.81,2020
2021-01-01,Kedah,15-19,6.06,2021
2022-01-01,Kedah,15-19,6.0,2022
2023-01-01,Kedah,15-19,9.0,2023
2001-01-01,Kelantan,15-19,15.0,2001
2002-01-01,Kelantan,15-19,14.0,2002
2003-01-01,Kelantan,15-19,14.0,2003
2004-01-01,Kelantan,15-19,14.0,2004
2005-01-01,Kelantan,15-19,14.0,2005
2006-01-01,Kelantan,15-19,13.0,2006
2007-01-01,Kelantan,15-19,15.0,2007
2008-01-01,Kelantan,15-19,16.0,2008
2009-01-01,Kelantan,15-19,17.0,2009
2010-01-01,Kelantan,15-19,16.0,2010
2011-01-01,Kelantan,15-19,16.0,2011
2012-01-01,Kelantan,15-19,15.0,2012
2013-01-01,Kelantan,15-19,14.0,2013
2014-01-01,Kelantan,15-19,14.0,2014
2015-01-01,Kelantan,15-19,13.0,2015
2016-01-01,Kelantan,15-19,12.0,2016
2017-01-01,Kelantan,15-19,10.0,2017
2018-01-01,Kelantan,15-19,8.75,2018
2019-01-01,Kelantan,15-19,8.77,2019
2020-01-01,Kelantan,15-19,8.19,2020
2021-01-01,Kelantan,15-19,6.41,2021
2022-01-01,Kelantan,15-19,6.0,2022
2023-01-01,Kelantan,15-19,7.0,2023
2001-01-01,Melaka,15-19,10.0,2001
2002-01-01,Melaka,15-19,8.0,2002
2003-01-01,Melaka,15-19,9.0,2003
2004-01-01,Melaka,15-19,8.0,2004
2005-01-01,Melaka,15-19,7.0,2005
2006-01-01,Melaka,15-19,7.0,2006
2007-01-01,Melaka,15-19,7.0,2007
2008-01-01,Melaka,15-19,7.0,2008
2009-01-01,Melaka,15-19,6.0,2009
2010-01-01,Melaka,15-19,6.0,2010
2011-01-01,Melaka,15-19,7.0,2011
2012-01-01,Melaka,15-19,8.0,2012
2013-01-01,Melaka,15-19,7.0,2013
2014-01-01,Melaka,15-19,7.0,2014
2015-01-01,Melaka,15-19,7.0,2015
2016-01-01,Melaka,15-19,6.0,2016
2017-01-01,Melaka,15-19,6.0,2017
2018-01-01,Melaka,15-19,5.49,2018
2019-01-01,Melaka,15-19,6.11,2019
2020-01-01,Melaka,15-19,4.99,2020
2021-01-01,Melaka,15-19,2.76,2021
2022-01-01,Melaka,15-19,3.0,2022
2023-01-01,Melaka,15-19,4.0,2023
2001-01-01,Negeri Sembilan,15-19,12.0,2001
2002-01-01,Negeri Sembilan,15-19,11.0,2002
2003-01-01,Negeri Sembilan,15-19,10.0,2003
2004-01-01,Negeri Sembilan,15-19,11.0,2004
2005-01-01,Negeri Sembilan,15-19,11.0,2005
2006-01-01,Negeri Sembilan,15-19,10.0,2006
2007-01-01,Negeri Sembilan,15-19,10.0,2007
2008-01-01,Negeri Sembilan,15-19,10.0,2008
2009-01-01,Negeri Sembilan,15-19,10.0,2009
2010-01-01,Negeri Sembilan,15-19,11.0,2010
2011-01-01,Negeri Sembilan,15-19,10.0,2011
2012-01-01,Negeri Sembilan,15-19,10.0,2012
2013-01-01,Negeri Sembilan,15-19,10.0,2013
2014-01-01,Negeri Sembilan,15-19,9.0,2014
2015-01-01,Negeri Sembilan,15-19,9.0,2015
2016-01-01,Negeri Sembilan,15-19,7.0,2016
2017-01-01,Negeri Sembilan,15-19,7.0,2017
2018-01-01,Negeri Sembilan,15-19,6.8,2018
2019-01-01,Negeri Sembilan,15-19,6.35,2019
2020-01-01,Negeri Sembilan,15-19,5.92,2020
2021-01-01,Negeri Sembilan,15-19,4.89,2021
2022-01-01,Negeri Sembilan,15-19,5.0,2022
2023-01-01,Negeri Sembilan,15-19,5.0,2023
2001-01-01,Pahang,15-19,15.0,2001
2002-01-01,Pahang,15-19,15.0,2002
2003-01-01,Pahang,15-19,14.0,2003
2004-01-01,Pahang,15-19,16.0,2004
2005-01-01,Pahang,15-19,15.0,2005
2006-01-01,Pahang,15-19,16.0,2006
2007-01-01,Pahang,15-19,16.0,2007
2008-01-01,Pahang,15-19,16.0,2008
2009-01-01,Pahang,15-19,16.0,2009
2010-01-01,Pahang,15-19,15.0,2010
2011-01-01,Pahang,15-19,18.0,2011
2012-01-01,Pahang,15-19,17.0,2012
2013-01-01,Pahang,15-19,16.0,2013
2014-01-01,Pahang,15-19,15.0,2014
2015-01-01,Pahang,15-19,15.0,2015
2016-01-01,Pahang,15-19,13.0,2016
2017-01-01,Pahang,15-19,12.0,2017
2018-01-01,Pahang,15-19,11.78,2018
2019-01-01,Pahang,15-19,11.08,2019
2020-01-01,Pahang,15-19,11.18,2020
2021-01-01,Pahang,15-19,8.54,2021
2022-01-01,Pahang,15-19,8.0,2022
2023-01-01,Pahang,15-19,9.0,2023
2001-01-01,Perak,15-19,12.0,2001
2002-01-01,Perak,15-19,12.0,2002
2003-01-01,Perak,15-19,11.0,2003
2004-01-01,Perak,15-19,11.0,2004
2005-01-01,Perak,15-19,10.0,2005
2006-01-01,Perak,15-19,10.0,2006
2007-01-01,Perak,15-19,9.0,2007
2008-01-01,Perak,15-19,10.0,2008
2009-01-01,Perak,15-19,10.0,2009
2010-01-01,Perak,15-19,9.0,2010
2011-01-01,Perak,15-19,9.0,2011
2012-01-01,Perak,15-19,9.0,2012
2013-01-01,Perak,15-19,8.0,2013
2014-01-01,Perak,15-19,8.0,2014
2015-01-01,Perak,15-19,8.0,2015
2016-01-01,Perak,15-19,7.0,2016
2017-01-01,Perak,15-19,6.0,2017
2018-01-01,Perak,15-19,6.16,2018
2019-01-01,Perak,15-19,5.72,2019
2020-01-01,Perak,15-19,4.94,2020
2021-01-01,Perak,15-19,4.47,2021
2022-01-01,Perak,15-19,4.0,2022
2023-01-01,Perak,15-19,5.0,2023
2001-01-01,Perlis,15-19,13.0,2001
2002-01-01,Perlis,15-19,13.0,2002
2003-01-01,Perlis,15-19,13.0,2003
2004-01-01,Perlis,15-19,11.0,2004
2005-01-01,Perlis,15-19,11.0,2005
2006-01-01,Perlis,15-19,11.0,2006
2007-01-01,Perlis,15-19,11.0,2007
2008-01-01,Perlis,15-19,10.0,2008
2009-01-01,Perlis,15-19,10.0,2009
2010-01-01,Perlis,15-19,9.0,2010
2011-01-01,Perlis,15-19,9.0,2011
2012-01-01,Perlis,15-19,11.0,2012
2013-01-01,Perlis,15-19,10.0,2013
2014-01-01,Perlis,15-19,11.0,2014
2015-01-01,Perlis,15-19,12.0,2015
2016-01-01,Perlis,15-19,12.0,2016
2017-01-01,Perlis,15-19,10.0,2017
2018-01-01,Perlis,15-19,9.58,2018
2019-01-01,Perlis,15-19,8.94,2019
2020-01-01,Perlis,15-19,8.05,2020
2021-01-01,Perlis,15-19,5.0,2021
2022-01-01,Perlis,15-19,5.0,2022
2023-01-01,Perlis,15-19,6.0,2023
2001-01-01,Pulau Pinang,15-19,8.0,2001
2002-01-01,Pulau Pinang,15-19,8.0,2002
2003-01-01,Pulau Pinang,15-19,7.0,2003
2004-01-01,Pulau Pinang,15-19,7.0,2004
2005-01-01,Pulau Pinang,15-19,6.0,2005
2006-01-01,Pulau Pinang,15-19,6.0,2006
2007-01-01,Pulau Pinang,15-19,6.0,2007
2008-01-01,Pulau Pinang,15-19,6.0,2008
2009-01-01,Pulau Pinang,15-19,6.0,2009
2010-01-01,Pulau Pinang,15-19,6.0,2010
2011-01-01,Pulau Pinang,15-19,6.0,2011
2012-01-01,Pulau Pinang,15-19,7.0,2012
2013-01-01,Pulau Pinang,15-19,6.0,2013
2014-01-01,Pulau Pinang,15-19,7.0,2014
2015-01-01,Pulau Pinang,15-19,7.0,2015
2016-01-01,Pulau Pinang,15-19,7.0,2016
2017-01-01,Pulau Pinang,15-19,6.0,2017
2018-01-01,Pulau Pinang,15-19,5.02,2018
2019-01-01,Pulau Pinang,15-19,4.78,2019
2020-01-01,Pulau Pinang,15-19,5.45,2020
2021-01-01,Pulau Pinang,15-19,4.23,2021
2022-01-01,Pulau Pinang,15-19,5.0,2022
2023-01-01,Pulau Pinang,15-19,8.0,2023
2001-01-01,Sabah,15-19,21.34,2001
2002-01-01,Sabah,15-19,18.65,2002
2003-01-01,Sabah,15-19,17.21,2003
2004-01-01,Sabah,15-19,17.97,2004
2005-01-01,Sabah,15-19,17.39,2005
2006-01-01,Sabah,15-19,17.12,2006
2007-01-01,Sabah,15-19,16.57,2007
2008-01-01,Sabah,15-19,18.58,2008
2009-01-01,Sabah,15-19,20.9,2009
2010-01-01,Sabah,15-19,21.79,2010
2011-01-01,Sabah,15-19,21.43,2011
2012-01-01,Sabah,15-19,22.12,2012
2013-01-01,Sabah,15-19,20.35,2013
2014-01-01,Sabah,15-19,20.0,2014
2015-01-01,Sabah,15-19,16.0,2015
2016-01-01,Sabah,15-19,13.0,2016
2017-01-01,Sabah,15-19,11.0,2017
2018-01-01,Sabah,15-19,11.09,2018
2019-01-01,Sabah,15-19,11.1,2019
2020-01-01,Sabah,15-19,9.34,2020
2021-01-01,Sabah,15-19,8.47,2021
2022-01-01,Sabah,15-19,9.0,2022
2023-01-01,Sabah,15-19,8.0,2023
2001-01-01,Sarawak,15-19,36.0,2001
2002-01-01,Sarawak,15-19,32.0,2002
2003-01-01,Sarawak,15-19,31.0,2003
2004-01-01,Sarawak,15-19,32.0,2004
2005-01-01,Sarawak,15-19,31.0,2005
2006-01-01,Sarawak,15-19,29.0,2006
2007-01-01,Sarawak,15-19,30.0,2007
2008-01-01,Sarawak,15-19,31.0,2008
2009-01-01,Sarawak,15-19,33.0,2009
2010-01-01,Sarawak,15-19,32.0,2010
2011-01-01,Sarawak,15-19,32.0,2011
2012-01-01,Sarawak,15-19,32.0,2012
2013-01-01,Sarawak,15-19,30.0,2013
2014-01-01,Sarawak,15-19,30.0,2014
2015-01-01,Sarawak,15-19,27.0,2015
2016-01-01,Sarawak,15-19,21.0,2016
2017-01-01,Sarawak,15-19,18.0,2017
2018-01-01,Sarawak,15-19,16.65,2018
2019-01-01,Sarawak,15-19,16.08,2019
2020-01-01,Sarawak,15-19,14.24,2020
2021-01-01,Sarawak,15-19,14.18,2021
2022-01-01,Sarawak,15-19,13.0,2022
2023-01-01,Sarawak,15-19,13.0,2023
2001-01-01,Selangor,15-19,8.0,2001
2002-01-01,Selangor,15-19,8.0,2002
2003-01-01,Selangor,15-19,8.0,2003
2004-01-01,Selangor,15-19,8.0,2004
2005-01-01,Selangor,15-19,7.0,2005
2006-01-01,Selangor,15-19,7.0,2006
2007-01-01,Selangor,15-19,7.0,2007
2008-01-01,Selangor,15-19,8.0,2008
2009-01-01,Selangor,15-19,9.0,2009
2010-01-01,Selangor,15-19,9.0,2010
2011-01-01,Selangor,15-19,10.0,2011
2012-01-01,Selangor,15-19,10.0,2012
2013-01-01,Selangor,15-19,9.0,2013
2014-01-01,Selangor,15-19,9.0,2014
2015-01-01,Selangor,15-19,8.0,2015
2016-01-01,Selangor,15-19,7.0,2016
2017-01-01,Selangor,15-19,6.0,2017
2018-01-01,Selangor,15-19,6.02,2018
2019-01-01,Selangor,15-19,5.43,2019
2020-01-01,Selangor,15-19,5.19,2020
2021-01-01,Selangor,15-19,3.64,2021
2022-01-01,Selangor,15-19,3.0,2022
2023-01-01,Selangor,15-19,5.0,2023
2001-01-01,Terengganu,15-19,11.0,2001
2002-01-01,Terengganu,15-19,10.0,2002
2003-01-01,Terengganu,15-19,10.0,2003
2004-01-01,Terengganu,15-19,10.0,2004
2005-01-01,Terengganu,15-19,9.0,2005
2006-01-01,Terengganu,15-19,10.0,2006
2007-01-01,Terengganu,15-19,10.0,2007
2008-01-01,Terengganu,15-19,12.0,2008
2009-01-01,Terengganu,15-19,13.0,2009
2010-01-01,Terengganu,15-19,12.0,2010
2011-01-01,Terengganu,15-19,11.0,2011
2012-01-01,Terengganu,15-19,12.0,2012
2013-01-01,Terengganu,15-19,11.0,2013
2014-01-01,Terengganu,15-19,11.0,2014
2015-01-01,Terengganu,15-19,10.0,2015
2016-01-01,Terengganu,15-19,10.0,2016
2017-01-01,Terengganu,15-19,9.0,2017
2018-01-01,Terengganu,15-19,7.31,2018
2019-01-01,Terengganu,15-19,6.4,2019
2020-01-01,Terengganu,15-19,6.5,2020
2021-01-01,Terengganu,15-19,6.46,2021
2022-01-01,Terengganu,15-19,6.0,2022
2023-01-01,Terengganu,15-19,9.0,2023
2001-01-01,W.P. Kuala Lumpur,15-19,9.0,2001
2002-01-01,W.P. Kuala Lumpur,15-19,8.0,2002
2003-01-01,W.P. Kuala Lumpur,15-19,7.0,2003
2004-01-01,W.P. Kuala Lumpur,15-19,7.0,2004
2005-01-01,W.P. Kuala Lumpur,15-19,6.0,2005
2006-01-01,W.P. Kuala Lumpur,15-19,6.0,2006
2007-01-01,W.P. Kuala Lumpur,15-19,6.0,2007
2008-01-01,W.P. Kuala Lumpur,15-19,6.0,2008
2009-01-01,W.P. Kuala Lumpur,15-19,7.0,2009
2010-01-01,W.P. Kuala Lumpur,15-19,7.0,2010
2011-01-01,W.P. Kuala Lumpur,15-19,7.0,2011
2012-01-01,W.P. Kuala Lumpur,15-19,9.0,2012
2013-01-01,W.P. Kuala Lumpur,15-19,8.0,2013
2014-01-01,W.P. Kuala Lumpur,15-19,10.0,2014
2015-01-01,W.P. Kuala Lumpur,15-19,9.0,2015
2016-01-01,W.P. Kuala Lumpur,15-19,8.0,2016
2017-01-01,W.P. Kuala Lumpur,15-19,7.0,2017
2018-01-01,W.P. Kuala Lumpur,15-19,6.37,2018
2019-01-01,W.P. Kuala Lumpur,15-19,6.71,2019
2020-01-01,W.P. Kuala Lumpur,15-19,5.83,2020
2021-01-01,W.P. Kuala Lumpur,15-19,3.53,2021
2022-01-01,W.P. Kuala Lumpur,15-19,3.0,2022
2023-01-01,W.P. Kuala Lumpur,15-19,5.0,2023
2001-01-01,W.P. Labuan,15-19,24.0,2001
2002-01-01,W.P. Labuan,15-19,16.0,2002
2003-01-01,W.P. Labuan,15-19,18.0,2003
2004-01-01,W.P. Labuan,15-19,16.0,2004
2005-01-01,W.P. Labuan,15-19,14.0,2005
2006-01-01,W.P. Labuan,15-19,18.0,2006
