age,sex,date,ethnicity,population,year
25-29,male,1980-01-01,overall,553.2,1980
25-29,male,1980-01-01,bumi,301.2,1980
25-29,male,1980-01-01,chinese,182.8,1980
25-29,male,1980-01-01,indian,52.4,1980
25-29,male,1980-01-01,other,16.7,1980
30-34,male,1980-01-01,overall,456.0,1980
30-34,male,1980-01-01,bumi,243.0,1980
30-34,male,1980-01-01,chinese,160.8,1980
30-34,male,1980-01-01,indian,39.7,1980
30-34,male,1980-01-01,other,12.5,1980
35-39,male,1980-01-01,overall,374.6,1980
35-39,male,1980-01-01,bumi,198.8,1980
35-39,male,1980-01-01,chinese,136.9,1980
35-39,male,1980-01-01,indian,29.9,1980
35-39,male,1980-01-01,other,9.1,1980
40-44,male,1980-01-01,overall,313.1,1980
40-44,male,1980-01-01,bumi,168.3,1980
40-44,male,1980-01-01,chinese,112.3,1980
40-44,male,1980-01-01,indian,25.5,1980
40-44,male,1980-01-01,other,7.0,1980
45-49,male,1980-01-01,overall,259.0,1980
45-49,male,1980-01-01,bumi,144.0,1980
45-49,male,1980-01-01,chinese,86.7,1980
45-49,male,1980-01-01,indian,23.4,1980
45-49,male,1980-01-01,other,4.9,1980
50-54,male,1980-01-01,overall,210.5,1980
50-54,male,1980-01-01,bumi,122.0,1980
50-54,male,1980-01-01,chinese,63.5,1980
50-54,male,1980-01-01,indian,21.3,1980
50-54,male,1980-01-01,other,3.6,1980
55-59,male,1980-01-01,overall,169.5,1980
55-59,male,1980-01-01,bumi,100.0,1980
55-59,male,1980-01-01,chinese,48.2,1980
55-59,male,1980-01-01,indian,18.6,1980
55-59,male,1980-01-01,other,2.6,1980
60-64,male,1980-01-01,overall,133.2,1980
60-64,male,1980-01-01,bumi,74.8,1980
60-64,male,1980-01-01,chinese,41.5,1980
60-64,male,1980-01-01,indian,15.0,1980
60-64,male,1980-01-01,other,1.9,1980
65-69,male,1980-01-01,overall,100.0,1980
65-69,male,1980-01-01,bumi,50.8,1980
65-69,male,1980-01-01,chinese,37.2,1980
65-69,male,1980-01-01,indian,10.9,1980
65-69,male,1980-01-01,other,1.1,1980
70-74,male,1980-01-01,overall,69.7,1980
70-74,male,1980-01-01,bumi,31.4,1980
70-74,male,1980-01-01,chinese,30.8,1980
70-74,male,1980-01-01,indian,6.9,1980
70-74,male,1980-01-01,other,0.7,1980
75-79,male,1980-01-01,overall,42.5,1980
75-79,male,1980-01-01,bumi,15.3,1980
75-79,male,1980-01-01,chinese,24.1,1980
75-79,male,1980-01-01,indian,2.8,1980
75-79,male,1980-01-01,other,0.3,1980
80+,male,1980-01-01,overall,30.8,1980
80+,male,1980-01-01,bumi,16.7,1980
80+,male,1980-01-01,chinese,11.7,1980
80+,male,1980-01-01,indian,2.1,1980
80+,male,1980-01-01,other,0.3,1980
overall,both,1981-01-01,overall,14256.9,1981
overall,both,1981-01-01,bumi,8200.6,1981
overall,both,1981-01-01,chinese,4521.1,1981
overall,both,1981-01-01,indian,1212.7,1981
overall,both,1981-01-01,other,322.5,1981
0-4,both,1981-01-01,overall,2032.4,1981
0-4,both,1981-01-01,bumi,1259.6,1981
0-4,both,1981-01-01,chinese,564.7,1981
0-4,both,1981-01-01,indian,163.9,1981
0-4,both,1981-01-01,other,44.1,1981
5-9,both,1981-01-01,overall,1854.3,1981
5-9,both,1981-01-01,bumi,1116.2,1981
5-9,both,1981-01-01,chinese,553.6,1981
5-9,both,1981-01-01,indian,144.2,1981
5-9,both,1981-01-01,other,40.4,1981
10-14,both,1981-01-01,overall,1735.2,1981
10-14,both,1981-01-01,bumi,1007.1,1981
10-14,both,1981-01-01,chinese,537.1,1981
10-14,both,1981-01-01,indian,142.5,1981
10-14,both,1981-01-01,other,48.5,1981
15-19,both,1981-01-01,overall,1619.8,1981
15-19,both,1981-01-01,bumi,930.6,1981
15-19,both,1981-01-01,chinese,502.7,1981
15-19,both,1981-01-01,indian,145.1,1981
15-19,both,1981-01-01,other,41.4,1981
20-24,both,1981-01-01,overall,1403.3,1981
20-24,both,1981-01-01,bumi,802.4,1981
20-24,both,1981-01-01,chinese,425.2,1981
20-24,both,1981-01-01,indian,134.8,1981
20-24,both,1981-01-01,other,40.9,1981
25-29,both,1981-01-01,overall,1176.9,1981
25-29,both,1981-01-01,bumi,655.0,1981
25-29,both,1981-01-01,chinese,380.8,1981
25-29,both,1981-01-01,indian,110.9,1981
25-29,both,1981-01-01,other,30.3,1981
30-34,both,1981-01-01,overall,940.6,1981
30-34,both,1981-01-01,bumi,510.5,1981
30-34,both,1981-01-01,chinese,326.0,1981
30-34,both,1981-01-01,indian,82.8,1981
30-34,both,1981-01-01,other,21.4,1981
35-39,both,1981-01-01,overall,755.4,1981
35-39,both,1981-01-01,bumi,409.8,1981
35-39,both,1981-01-01,chinese,270.3,1981
35-39,both,1981-01-01,indian,60.2,1981
35-39,both,1981-01-01,other,15.0,1981
40-44,both,1981-01-01,overall,632.9,1981
40-44,both,1981-01-01,bumi,347.3,1981
40-44,both,1981-01-01,chinese,223.0,1981
40-44,both,1981-01-01,indian,50.3,1981
40-44,both,1981-01-01,other,12.3,1981
45-49,both,1981-01-01,overall,532.8,1981
45-49,both,1981-01-01,bumi,301.1,1981
45-49,both,1981-01-01,chinese,178.4,1981
45-49,both,1981-01-01,indian,45.1,1981
45-49,both,1981-01-01,other,8.1,1981
50-54,both,1981-01-01,overall,437.1,1981
50-54,both,1981-01-01,bumi,254.6,1981
50-54,both,1981-01-01,chinese,137.0,1981
50-54,both,1981-01-01,indian,38.8,1981
50-54,both,1981-01-01,other,6.7,1981
55-59,both,1981-01-01,overall,351.8,1981
55-59,both,1981-01-01,bumi,208.4,1981
55-59,both,1981-01-01,chinese,106.9,1981
55-59,both,1981-01-01,indian,32.0,1981
55-59,both,1981-01-01,other,4.5,1981
60-64,both,1981-01-01,overall,275.5,1981
60-64,both,1981-01-01,bumi,155.8,1981
60-64,both,1981-01-01,chinese,90.7,1981
60-64,both,1981-01-01,indian,25.2,1981
60-64,both,1981-01-01,other,3.9,1981
65-69,both,1981-01-01,overall,205.2,1981
65-69,both,1981-01-01,bumi,104.8,1981
65-69,both,1981-01-01,chinese,80.4,1981
65-69,both,1981-01-01,indian,17.9,1981
65-69,both,1981-01-01,other,2.1,1981
70-74,both,1981-01-01,overall,142.5,1981
70-74,both,1981-01-01,bumi,65.7,1981
70-74,both,1981-01-01,chinese,64.2,1981
70-74,both,1981-01-01,indian,11.2,1981
70-74,both,1981-01-01,other,1.4,1981
75-79,both,1981-01-01,overall,87.6,1981
75-79,both,1981-01-01,bumi,34.4,1981
75-79,both,1981-01-01,chinese,47.6,1981
75-79,both,1981-01-01,indian,4.9,1981
75-79,both,1981-01-01,other,0.7,1981
80+,both,1981-01-01,overall,73.6,1981
80+,both,1981-01-01,bumi,37.2,1981
80+,both,1981-01-01,chinese,32.6,1981
80+,both,1981-01-01,indian,3.1,1981
80+,both,1981-01-01,other,0.7,1981
overall,female,1981-01-01,overall,7068.3,1981
overall,female,1981-01-01,bumi,4100.9,1981
overall,female,1981-01-01,chinese,2240.3,1981
overall,female,1981-01-01,indian,587.5,1981
overall,female,1981-01-01,other,139.6,1981
0-4,female,1981-01-01,overall,989.5,1981
0-4,female,1981-01-01,bumi,613.9,1981
0-4,female,1981-01-01,chinese,273.6,1981
0-4,female,1981-01-01,indian,80.6,1981
0-4,female,1981-01-01,other,21.4,1981
5-9,female,1981-01-01,overall,907.6,1981
5-9,female,1981-01-01,bumi,549.2,1981
5-9,female,1981-01-01,chinese,268.3,1981
5-9,female,1981-01-01,indian,71.0,1981
5-9,female,1981-01-01,other,19.1,1981
10-14,female,1981-01-01,overall,851.0,1981
10-14,female,1981-01-01,bumi,498.8,1981
10-14,female,1981-01-01,chinese,261.1,1981
10-14,female,1981-01-01,indian,69.8,1981
10-14,female,1981-01-01,other,21.2,1981
15-19,female,1981-01-01,overall,806.2,1981
15-19,female,1981-01-01,bumi,468.0,1981
15-19,female,1981-01-01,chinese,248.6,1981
15-19,female,1981-01-01,indian,71.5,1981
15-19,female,1981-01-01,other,18.2,1981
20-24,female,1981-01-01,overall,715.9,1981
20-24,female,1981-01-01,bumi,414.9,1981
20-24,female,1981-01-01,chinese,215.7,1981
20-24,female,1981-01-01,indian,68.4,1981
20-24,female,1981-01-01,other,16.9,1981
25-29,female,1981-01-01,overall,595.3,1981
25-29,female,1981-01-01,bumi,334.7,1981
25-29,female,1981-01-01,chinese,192.6,1981
25-29,female,1981-01-01,indian,55.8,1981
25-29,female,1981-01-01,other,12.2,1981
30-34,female,1981-01-01,overall,465.7,1981
30-34,female,1981-01-01,bumi,256.1,1981
30-34,female,1981-01-01,chinese,160.5,1981
30-34,female,1981-01-01,indian,40.7,1981
30-34,female,1981-01-01,other,8.3,1981
35-39,female,1981-01-01,overall,367.6,1981
35-39,female,1981-01-01,bumi,203.1,1981
35-39,female,1981-01-01,chinese,129.4,1981
35-39,female,1981-01-01,indian,29.2,1981
35-39,female,1981-01-01,other,5.9,1981
40-44,female,1981-01-01,overall,308.7,1981
40-44,female,1981-01-01,bumi,173.7,1981
40-44,female,1981-01-01,chinese,106.1,1981
40-44,female,1981-01-01,indian,24.4,1981
40-44,female,1981-01-01,other,4.6,1981
45-49,female,1981-01-01,overall,264.6,1981
45-49,female,1981-01-01,bumi,152.9,1981
45-49,female,1981-01-01,chinese,87.1,1981
45-49,female,1981-01-01,indian,21.5,1981
45-49,female,1981-01-01,other,3.1,1981
50-54,female,1981-01-01,overall,220.3,1981
50-54,female,1981-01-01,bumi,129.8,1981
50-54,female,1981-01-01,chinese,70.1,1981
50-54,female,1981-01-01,indian,17.4,1981
50-54,female,1981-01-01,other,2.9,1981
55-59,female,1981-01-01,overall,178.0,1981
55-59,female,1981-01-01,bumi,105.5,1981
55-59,female,1981-01-01,chinese,57.3,1981
55-59,female,1981-01-01,indian,13.4,1981
55-59,female,1981-01-01,other,1.8,1981
60-64,female,1981-01-01,overall,139.4,1981
60-64,female,1981-01-01,bumi,78.0,1981
60-64,female,1981-01-01,chinese,49.6,1981
60-64,female,1981-01-01,indian,10.0,1981
60-64,female,1981-01-01,other,1.8,1981
65-69,female,1981-01-01,overall,103.0,1981
65-69,female,1981-01-01,bumi,52.0,1981
65-69,female,1981-01-01,chinese,43.2,1981
65-69,female,1981-01-01,indian,6.9,1981
65-69,female,1981-01-01,other,0.9,1981
70-74,female,1981-01-01,overall,71.5,1981
70-74,female,1981-01-01,bumi,32.6,1981
70-74,female,1981-01-01,chinese,34.2,1981
70-74,female,1981-01-01,indian,4.1,1981
70-74,female,1981-01-01,other,0.6,1981
75-79,female,1981-01-01,overall,43.4,1981
75-79,female,1981-01-01,bumi,17.4,1981
75-79,female,1981-01-01,chinese,24.0,1981
75-79,female,1981-01-01,indian,1.6,1981
75-79,female,1981-01-01,other,0.4,1981
80+,female,1981-01-01,overall,40.7,1981
80+,female,1981-01-01,bumi,20.3,1981
80+,female,1981-01-01,chinese,18.8,1981
80+,female,1981-01-01,indian,1.1,1981
80+,female,1981-01-01,other,0.4,1981
overall,male,1981-01-01,overall,7188.6,1981
overall,male,1981-01-01,bumi,4099.7,1981
overall,male,1981-01-01,chinese,2280.8,1981
overall,male,1981-01-01,indian,625.2,1981
overall,male,1981-01-01,other,182.9,1981
0-4,male,1981-01-01,overall,1042.9,1981
0-4,male,1981-01-01,bumi,645.7,1981
0-4,male,1981-01-01,chinese,291.0,1981
0-4,male,1981-01-01,indian,83.4,1981
0-4,male,1981-01-01,other,22.8,1981
5-9,male,1981-01-01,overall,946.8,1981
5-9,male,1981-01-01,bumi,567.0,1981
5-9,male,1981-01-01,chinese,285.3,1981
5-9,male,1981-01-01,indian,73.2,1981
5-9,male,1981-01-01,other,21.3,1981
10-14,male,1981-01-01,overall,884.2,1981
10-14,male,1981-01-01,bumi,508.4,1981
10-14,male,1981-01-01,chinese,275.9,1981
10-14,male,1981-01-01,indian,72.6,1981
10-14,male,1981-01-01,other,27.3,1981
15-19,male,1981-01-01,overall,813.6,1981
15-19,male,1981-01-01,bumi,462.6,1981
15-19,male,1981-01-01,chinese,254.1,1981
15-19,male,1981-01-01,indian,73.6,1981
15-19,male,1981-01-01,other,23.2,1981
20-24,male,1981-01-01,overall,687.4,1981
20-24,male,1981-01-01,bumi,387.5,1981
20-24,male,1981-01-01,chinese,209.5,1981
20-24,male,1981-01-01,indian,66.4,1981
20-24,male,1981-01-01,other,24.0,1981
25-29,male,1981-01-01,overall,581.7,1981
25-29,male,1981-01-01,bumi,320.3,1981
25-29,male,1981-01-01,chinese,188.2,1981
25-29,male,1981-01-01,indian,55.1,1981
25-29,male,1981-01-01,other,18.1,1981
30-34,male,1981-01-01,overall,475.0,1981
30-34,male,1981-01-01,bumi,254.4,1981
30-34,male,1981-01-01,chinese,165.5,1981
30-34,male,1981-01-01,indian,42.0,1981
30-34,male,1981-01-01,other,13.1,1981
35-39,male,1981-01-01,overall,387.8,1981
35-39,male,1981-01-01,bumi,206.7,1981
35-39,male,1981-01-01,chinese,140.9,1981
35-39,male,1981-01-01,indian,31.0,1981
35-39,male,1981-01-01,other,9.2,1981
40-44,male,1981-01-01,overall,324.1,1981
40-44,male,1981-01-01,bumi,173.6,1981
40-44,male,1981-01-01,chinese,117.0,1981
40-44,male,1981-01-01,indian,25.9,1981
40-44,male,1981-01-01,other,7.7,1981
45-49,male,1981-01-01,overall,268.2,1981
45-49,male,1981-01-01,bumi,148.3,1981
45-49,male,1981-01-01,chinese,91.3,1981
45-49,male,1981-01-01,indian,23.6,1981
45-49,male,1981-01-01,other,5.0,1981
50-54,male,1981-01-01,overall,216.9,1981
50-54,male,1981-01-01,bumi,124.8,1981
50-54,male,1981-01-01,chinese,66.9,1981
50-54,male,1981-01-01,indian,21.3,1981
50-54,male,1981-01-01,other,3.8,1981
55-59,male,1981-01-01,overall,173.7,1981
55-59,male,1981-01-01,bumi,102.9,1981
55-59,male,1981-01-01,chinese,49.6,1981
55-59,male,1981-01-01,indian,18.6,1981
55-59,male,1981-01-01,other,2.7,1981
60-64,male,1981-01-01,overall,136.2,1981
60-64,male,1981-01-01,bumi,77.8,1981
60-64,male,1981-01-01,chinese,41.1,1981
60-64,male,1981-01-01,indian,15.1,1981
60-64,male,1981-01-01,other,2.1,1981
