age,sex,date,ethnicity,population
20-24,female,1981-01-01,bumi,414.9
20-24,female,1981-01-01,chinese,215.7
20-24,female,1981-01-01,indian,68.4
20-24,female,1981-01-01,other,16.9
25-29,female,1981-01-01,overall,595.3
25-29,female,1981-01-01,bumi,334.7
25-29,female,1981-01-01,chinese,192.6
25-29,female,1981-01-01,indian,55.8
25-29,female,1981-01-01,other,12.2
30-34,female,1981-01-01,overall,465.7
30-34,female,1981-01-01,bumi,256.1
30-34,female,1981-01-01,chinese,160.5
30-34,female,1981-01-01,indian,40.7
30-34,female,1981-01-01,other,8.3
35-39,female,1981-01-01,overall,367.6
35-39,female,1981-01-01,bumi,203.1
35-39,female,1981-01-01,chinese,129.4
35-39,female,1981-01-01,indian,29.2
35-39,female,1981-01-01,other,5.9
40-44,female,1981-01-01,overall,308.7
40-44,female,1981-01-01,bumi,173.7
40-44,female,1981-01-01,chinese,106.1
40-44,female,1981-01-01,indian,24.4
40-44,female,1981-01-01,other,4.6
45-49,female,1981-01-01,overall,264.6
45-49,female,1981-01-01,bumi,152.9
45-49,female,1981-01-01,chinese,87.1
45-49,female,1981-01-01,indian,21.5
45-49,female,1981-01-01,other,3.1
50-54,female,1981-01-01,overall,220.3
50-54,female,1981-01-01,bumi,129.8
50-54,female,1981-01-01,chinese,70.1
50-54,female,1981-01-01,indian,17.4
50-54,female,1981-01-01,other,2.9
55-59,female,1981-01-01,overall,178.0
55-59,female,1981-01-01,bumi,105.5
55-59,female,1981-01-01,chinese,57.3
55-59,female,1981-01-01,indian,13.4
55-59,female,1981-01-01,other,1.8
60-64,female,1981-01-01,overall,139.4
60-64,female,1981-01-01,bumi,78.0
60-64,female,1981-01-01,chinese,49.6
60-64,female,1981-01-01,indian,10.0
60-64,female,1981-01-01,other,1.8
65-69,female,1981-01-01,overall,103.0
65-69,female,1981-01-01,bumi,52.0
65-69,female,1981-01-01,chinese,43.2
65-69,female,1981-01-01,indian,6.9
65-69,female,1981-01-01,other,0.9
70-74,female,1981-01-01,overall,71.5
70-74,female,1981-01-01,bumi,32.6
70-74,female,1981-01-01,chinese,34.2
70-74,female,1981-01-01,indian,4.1
70-74,female,1981-01-01,other,0.6
75-79,female,1981-01-01,overall,43.4
75-79,female,1981-01-01,bumi,17.4
75-79,female,1981-01-01,chinese,24.0
75-79,female,1981-01-01,indian,1.6
75-79,female,1981-01-01,other,0.4
80+,female,1981-01-01,overall,40.7
80+,female,1981-01-01,bumi,20.3
80+,female,1981-01-01,chinese,18.8
80+,female,1981-01-01,indian,1.1
80+,female,1981-01-01,other,0.4
overall,male,1981-01-01,overall,7188.6
overall,male,1981-01-01,bumi,4099.7
overall,male,1981-01-01,chinese,2280.8
overall,male,1981-01-01,indian,625.2
overall,male,1981-01-01,other,182.9
0-4,male,1981-01-01,overall,1042.9
0-4,male,1981-01-01,bumi,645.7
0-4,male,1981-01-01,chinese,291.0
0-4,male,1981-01-01,indian,83.4
0-4,male,1981-01-01,other,22.8
5-9,male,1981-01-01,overall,946.8
5-9,male,1981-01-01,bumi,567.0
5-9,male,1981-01-01,chinese,285.3
5-9,male,1981-01-01,indian,73.2
5-9,male,1981-01-01,other,21.3
10-14,male,1981-01-01,overall,884.2
10-14,male,1981-01-01,bumi,508.4
10-14,male,1981-01-01,chinese,275.9
10-14,male,1981-01-01,indian,72.6
10-14,male,1981-01-01,other,27.3
15-19,male,1981-01-01,overall,813.6
15-19,male,1981-01-01,bumi,462.6
15-19,male,1981-01-01,chinese,254.1
15-19,male,1981-01-01,indian,73.6
15-19,male,1981-01-01,other,23.2
20-24,male,1981-01-01,overall,687.4
20-24,male,1981-01-01,bumi,387.5
20-24,male,1981-01-01,chinese,209.5
20-24,male,1981-01-01,indian,66.4
20-24,male,1981-01-01,other,24.0
25-29,male,1981-01-01,overall,581.7
25-29,male,1981-01-01,bumi,320.3
25-29,male,1981-01-01,chinese,188.2
25-29,male,1981-01-01,indian,55.1
25-29,male,1981-01-01,other,18.1
30-34,male,1981-01-01,overall,475.0
30-34,male,1981-01-01,bumi,254.4
30-34,male,1981-01-01,chinese,165.5
30-34,male,1981-01-01,indian,42.0
30-34,male,1981-01-01,other,13.1
35-39,male,1981-01-01,overall,387.8
35-39,male,1981-01-01,bumi,206.7
35-39,male,1981-01-01,chinese,140.9
35-39,male,1981-01-01,indian,31.0
35-39,male,1981-01-01,other,9.2
40-44,male,1981-01-01,overall,324.1
40-44,male,1981-01-01,bumi,173.6
40-44,male,1981-01-01,chinese,117.0
40-44,male,1981-01-01,indian,25.9
40-44,male,1981-01-01,other,7.7
45-49,male,1981-01-01,overall,268.2
45-49,male,1981-01-01,bumi,148.3
45-49,male,1981-01-01,chinese,91.3
45-49,male,1981-01-01,indian,23.6
45-49,male,1981-01-01,other,5.0
50-54,male,1981-01-01,overall,216.9
50-54,male,1981-01-01,bumi,124.8
50-54,male,1981-01-01,chinese,66.9
50-54,male,1981-01-01,indian,21.3
50-54,male,1981-01-01,other,3.8
55-59,male,1981-01-01,overall,173.7
55-59,male,1981-01-01,bumi,102.9
55-59,male,1981-01-01,chinese,49.6
55-59,male,1981-01-01,indian,18.6
55-59,male,1981-01-01,other,2.7
60-64,male,1981-01-01,overall,136.2
60-64,male,1981-01-01,bumi,77.8
60-64,male,1981-01-01,chinese,41.1
60-64,male,1981-01-01,indian,15.1
60-64,male,1981-01-01,other,2.1
