age,sex,date,state,district,ethnicity,population
45-49,male,2020-01-01,Johor,Johor Bahru,other_citizen,0.4
45-49,male,2020-01-01,Johor,Johor Bahru,other_noncitizen,4.5
50-54,male,2020-01-01,Johor,Johor Bahru,overall,45.8
50-54,male,2020-01-01,Johor,Johor Bahru,bumi_malay,18.8
50-54,male,2020-01-01,Johor,Johor Bahru,bumi_other,0.8
50-54,male,2020-01-01,Johor,Johor Bahru,chinese,19.1
50-54,male,2020-01-01,Johor,Johor Bahru,indian,3.9
50-54,male,2020-01-01,Johor,Johor Bahru,other_citizen,0.2
50-54,male,2020-01-01,Johor,Johor Bahru,other_noncitizen,3.0
55-59,male,2020-01-01,Johor,Johor Bahru,overall,41.9
55-59,male,2020-01-01,Johor,Johor Bahru,bumi_malay,17.6
55-59,male,2020-01-01,Johor,Johor Bahru,bumi_other,0.5
55-59,male,2020-01-01,Johor,Johor Bahru,chinese,17.9
55-59,male,2020-01-01,Johor,Johor Bahru,indian,3.5
55-59,male,2020-01-01,Johor,Johor Bahru,other_citizen,0.1
55-59,male,2020-01-01,Johor,Johor Bahru,other_noncitizen,2.3
60-64,male,2020-01-01,Johor,Johor Bahru,overall,33.4
60-64,male,2020-01-01,Johor,Johor Bahru,bumi_malay,14.0
60-64,male,2020-01-01,Johor,Johor Bahru,bumi_other,0.4
60-64,male,2020-01-01,Johor,Johor Bahru,chinese,14.7
60-64,male,2020-01-01,Johor,Johor Bahru,indian,2.5
60-64,male,2020-01-01,Johor,Johor Bahru,other_citizen,0.3
60-64,male,2020-01-01,Johor,Johor Bahru,other_noncitizen,1.5
65-69,male,2020-01-01,Johor,Johor Bahru,overall,19.3
65-69,male,2020-01-01,Johor,Johor Bahru,bumi_malay,8.8
65-69,male,2020-01-01,Johor,Johor Bahru,bumi_other,0.3
65-69,male,2020-01-01,Johor,Johor Bahru,chinese,6.6
65-69,male,2020-01-01,Johor,Johor Bahru,indian,1.7
65-69,male,2020-01-01,Johor,Johor Bahru,other_citizen,0.3
65-69,male,2020-01-01,Johor,Johor Bahru,other_noncitizen,1.7
70-74,male,2020-01-01,Johor,Johor Bahru,overall,13.4
70-74,male,2020-01-01,Johor,Johor Bahru,bumi_malay,6.0
70-74,male,2020-01-01,Johor,Johor Bahru,bumi_other,0.2
70-74,male,2020-01-01,Johor,Johor Bahru,chinese,5.1
70-74,male,2020-01-01,Johor,Johor Bahru,indian,1.0
70-74,male,2020-01-01,Johor,Johor Bahru,other_citizen,0.0
70-74,male,2020-01-01,Johor,Johor Bahru,other_noncitizen,1.1
75-79,male,2020-01-01,Johor,Johor Bahru,overall,7.7
75-79,male,2020-01-01,Johor,Johor Bahru,bumi_malay,3.2
75-79,male,2020-01-01,Johor,Johor Bahru,bumi_other,0.2
75-79,male,2020-01-01,Johor,Johor Bahru,chinese,3.1
75-79,male,2020-01-01,Johor,Johor Bahru,indian,0.6
75-79,male,2020-01-01,Johor,Johor Bahru,other_citizen,0.0
75-79,male,2020-01-01,Johor,Johor Bahru,other_noncitizen,0.6
80-84,male,2020-01-01,Johor,Johor Bahru,overall,5.0
80-84,male,2020-01-01,Johor,Johor Bahru,bumi_malay,1.9
80-84,male,2020-01-01,Johor,Johor Bahru,bumi_other,0.1
80-84,male,2020-01-01,Johor,Johor Bahru,chinese,2.1
80-84,male,2020-01-01,Johor,Johor Bahru,indian,0.3
80-84,male,2020-01-01,Johor,Johor Bahru,other_citizen,0.0
80-84,male,2020-01-01,Johor,Johor Bahru,other_noncitizen,0.7
85+,male,2020-01-01,Johor,Johor Bahru,overall,4.6
85+,male,2020-01-01,Johor,Johor Bahru,bumi_malay,1.9
85+,male,2020-01-01,Johor,Johor Bahru,bumi_other,0.1
85+,male,2020-01-01,Johor,Johor Bahru,chinese,1.3
85+,male,2020-01-01,Johor,Johor Bahru,indian,0.4
85+,male,2020-01-01,Johor,Johor Bahru,other_citizen,0.0
85+,male,2020-01-01,Johor,Johor Bahru,other_noncitizen,0.8
overall,both,2020-01-01,Johor,Kluang,overall,323.8
overall,both,2020-01-01,Johor,Kluang,bumi_malay,166.6
overall,both,2020-01-01,Johor,Kluang,bumi_other,4.8
overall,both,2020-01-01,Johor,Kluang,chinese,92.3
overall,both,2020-01-01,Johor,Kluang,indian,24.8
overall,both,2020-01-01,Johor,Kluang,other_citizen,1.4
overall,both,2020-01-01,Johor,Kluang,other_noncitizen,33.8
0-4,both,2020-01-01,Johor,Kluang,overall,19.7
0-4,both,2020-01-01,Johor,Kluang,bumi_malay,13.5
0-4,both,2020-01-01,Johor,Kluang,bumi_other,0.6
0-4,both,2020-01-01,Johor,Kluang,chinese,4.2
0-4,both,2020-01-01,Johor,Kluang,indian,1.2
0-4,both,2020-01-01,Johor,Kluang,other_citizen,0.0
0-4,both,2020-01-01,Johor,Kluang,other_noncitizen,0.0
5-9,both,2020-01-01,Johor,Kluang,overall,26.9
5-9,both,2020-01-01,Johor,Kluang,bumi_malay,16.4
5-9,both,2020-01-01,Johor,Kluang,bumi_other,0.6
5-9,both,2020-01-01,Johor,Kluang,chinese,7.7
5-9,both,2020-01-01,Johor,Kluang,indian,2.0
5-9,both,2020-01-01,Johor,Kluang,other_citizen,0.0
5-9,both,2020-01-01,Johor,Kluang,other_noncitizen,0.1
10-14,both,2020-01-01,Johor,Kluang,overall,28.6
10-14,both,2020-01-01,Johor,Kluang,bumi_malay,16.7
10-14,both,2020-01-01,Johor,Kluang,bumi_other,0.5
10-14,both,2020-01-01,Johor,Kluang,chinese,9.0
10-14,both,2020-01-01,Johor,Kluang,indian,2.2
10-14,both,2020-01-01,Johor,Kluang,other_citizen,0.1
10-14,both,2020-01-01,Johor,Kluang,other_noncitizen,0.1
15-19,both,2020-01-01,Johor,Kluang,overall,27.7
15-19,both,2020-01-01,Johor,Kluang,bumi_malay,15.3
15-19,both,2020-01-01,Johor,Kluang,bumi_other,0.5
15-19,both,2020-01-01,Johor,Kluang,chinese,7.6
15-19,both,2020-01-01,Johor,Kluang,indian,2.3
15-19,both,2020-01-01,Johor,Kluang,other_citizen,0.4
15-19,both,2020-01-01,Johor,Kluang,other_noncitizen,1.6
20-24,both,2020-01-01,Johor,Kluang,overall,32.5
20-24,both,2020-01-01,Johor,Kluang,bumi_malay,14.9
20-24,both,2020-01-01,Johor,Kluang,bumi_other,0.3
20-24,both,2020-01-01,Johor,Kluang,chinese,8.0
20-24,both,2020-01-01,Johor,Kluang,indian,2.2
20-24,both,2020-01-01,Johor,Kluang,other_citizen,0.2
20-24,both,2020-01-01,Johor,Kluang,other_noncitizen,6.9
25-29,both,2020-01-01,Johor,Kluang,overall,30.7
25-29,both,2020-01-01,Johor,Kluang,bumi_malay,13.4
25-29,both,2020-01-01,Johor,Kluang,bumi_other,0.2
25-29,both,2020-01-01,Johor,Kluang,chinese,7.5
25-29,both,2020-01-01,Johor,Kluang,indian,2.1
25-29,both,2020-01-01,Johor,Kluang,other_citizen,0.1
25-29,both,2020-01-01,Johor,Kluang,other_noncitizen,7.5
30-34,both,2020-01-01,Johor,Kluang,overall,28.0
30-34,both,2020-01-01,Johor,Kluang,bumi_malay,13.5
30-34,both,2020-01-01,Johor,Kluang,bumi_other,0.4
30-34,both,2020-01-01,Johor,Kluang,chinese,7.1
30-34,both,2020-01-01,Johor,Kluang,indian,1.9
30-34,both,2020-01-01,Johor,Kluang,other_citizen,0.1
30-34,both,2020-01-01,Johor,Kluang,other_noncitizen,5.0
35-39,both,2020-01-01,Johor,Kluang,overall,26.1
35-39,both,2020-01-01,Johor,Kluang,bumi_malay,12.9
35-39,both,2020-01-01,Johor,Kluang,bumi_other,0.5
35-39,both,2020-01-01,Johor,Kluang,chinese,7.0
35-39,both,2020-01-01,Johor,Kluang,indian,2.2
35-39,both,2020-01-01,Johor,Kluang,other_citizen,0.0
35-39,both,2020-01-01,Johor,Kluang,other_noncitizen,3.5
40-44,both,2020-01-01,Johor,Kluang,overall,21.2
40-44,both,2020-01-01,Johor,Kluang,bumi_malay,9.9
40-44,both,2020-01-01,Johor,Kluang,bumi_other,0.4
40-44,both,2020-01-01,Johor,Kluang,chinese,6.6
40-44,both,2020-01-01,Johor,Kluang,indian,2.0
40-44,both,2020-01-01,Johor,Kluang,other_citizen,0.1
40-44,both,2020-01-01,Johor,Kluang,other_noncitizen,2.3
45-49,both,2020-01-01,Johor,Kluang,overall,19.0
45-49,both,2020-01-01,Johor,Kluang,bumi_malay,8.9
45-49,both,2020-01-01,Johor,Kluang,bumi_other,0.3
45-49,both,2020-01-01,Johor,Kluang,chinese,6.4
45-49,both,2020-01-01,Johor,Kluang,indian,1.6
45-49,both,2020-01-01,Johor,Kluang,other_citizen,0.1
45-49,both,2020-01-01,Johor,Kluang,other_noncitizen,1.6
50-54,both,2020-01-01,Johor,Kluang,overall,17.0
50-54,both,2020-01-01,Johor,Kluang,bumi_malay,8.3
50-54,both,2020-01-01,Johor,Kluang,bumi_other,0.2
50-54,both,2020-01-01,Johor,Kluang,chinese,5.9
50-54,both,2020-01-01,Johor,Kluang,indian,1.4
