date,state,age_group,fertility_rate
2009-01-01,Perlis,15-19,10.0
2010-01-01,Perlis,15-19,9.0
2011-01-01,Perlis,15-19,9.0
2012-01-01,Perlis,15-19,11.0
2013-01-01,Perlis,15-19,10.0
2014-01-01,Perlis,15-19,11.0
2015-01-01,Perlis,15-19,12.0
2016-01-01,Perlis,15-19,12.0
2017-01-01,Perlis,15-19,10.0
2018-01-01,Perlis,15-19,9.58
2019-01-01,Perlis,15-19,8.94
2020-01-01,Perlis,15-19,8.05
2021-01-01,Perlis,15-19,5.0
2022-01-01,Perlis,15-19,5.0
2023-01-01,Perlis,15-19,6.0
2001-01-01,Pulau Pinang,15-19,8.0
2002-01-01,Pulau Pinang,15-19,8.0
2003-01-01,Pulau Pinang,15-19,7.0
2004-01-01,Pulau Pinang,15-19,7.0
2005-01-01,Pulau Pinang,15-19,6.0
2006-01-01,Pulau Pinang,15-19,6.0
2007-01-01,Pulau Pinang,15-19,6.0
2008-01-01,Pulau Pinang,15-19,6.0
2009-01-01,Pulau Pinang,15-19,6.0
2010-01-01,Pulau Pinang,15-19,6.0
2011-01-01,Pulau Pinang,15-19,6.0
2012-01-01,Pulau Pinang,15-19,7.0
2013-01-01,Pulau Pinang,15-19,6.0
2014-01-01,Pulau Pinang,15-19,7.0
2015-01-01,Pulau Pinang,15-19,7.0
2016-01-01,Pulau Pinang,15-19,7.0
2017-01-01,Pulau Pinang,15-19,6.0
2018-01-01,Pulau Pinang,15-19,5.02
2019-01-01,Pulau Pinang,15-19,4.78
2020-01-01,Pulau Pinang,15-19,5.45
2021-01-01,Pulau Pinang,15-19,4.23
2022-01-01,Pulau Pinang,15-19,5.0
2023-01-01,Pulau Pinang,15-19,8.0
2001-01-01,Sabah,15-19,21.34
2002-01-01,Sabah,15-19,18.65
2003-01-01,Sabah,15-19,17.21
2004-01-01,Sabah,15-19,17.97
2005-01-01,Sabah,15-19,17.39
2006-01-01,Sabah,15-19,17.12
2007-01-01,Sabah,15-19,16.57
2008-01-01,Sabah,15-19,18.58
2009-01-01,Sabah,15-19,20.9
2010-01-01,Sabah,15-19,21.79
2011-01-01,Sabah,15-19,21.43
2012-01-01,Sabah,15-19,22.12
2013-01-01,Sabah,15-19,20.35
2014-01-01,Sabah,15-19,20.0
2015-01-01,Sabah,15-19,16.0
2016-01-01,Sabah,15-19,13.0
2017-01-01,Sabah,15-19,11.0
2018-01-01,Sabah,15-19,11.09
2019-01-01,Sabah,15-19,11.1
2020-01-01,Sabah,15-19,9.34
2021-01-01,Sabah,15-19,8.47
2022-01-01,Sabah,15-19,9.0
2023-01-01,Sabah,15-19,8.0
2001-01-01,Sarawak,15-19,36.0
2002-01-01,Sarawak,15-19,32.0
2003-01-01,Sarawak,15-19,31.0
2004-01-01,Sarawak,15-19,32.0
2005-01-01,Sarawak,15-19,31.0
2006-01-01,Sarawak,15-19,29.0
2007-01-01,Sarawak,15-19,30.0
2008-01-01,Sarawak,15-19,31.0
2009-01-01,Sarawak,15-19,33.0
2010-01-01,Sarawak,15-19,32.0
2011-01-01,Sarawak,15-19,32.0
2012-01-01,Sarawak,15-19,32.0
2013-01-01,Sarawak,15-19,30.0
2014-01-01,Sarawak,15-19,30.0
2015-01-01,Sarawak,15-19,27.0
2016-01-01,Sarawak,15-19,21.0
2017-01-01,Sarawak,15-19,18.0
2018-01-01,Sarawak,15-19,16.65
2019-01-01,Sarawak,15-19,16.08
2020-01-01,Sarawak,15-19,14.24
2021-01-01,Sarawak,15-19,14.18
2022-01-01,Sarawak,15-19,13.0
2023-01-01,Sarawak,15-19,13.0
2001-01-01,Selangor,15-19,8.0
2002-01-01,Selangor,15-19,8.0
2003-01-01,Selangor,15-19,8.0
2004-01-01,Selangor,15-19,8.0
2005-01-01,Selangor,15-19,7.0
2006-01-01,Selangor,15-19,7.0
2007-01-01,Selangor,15-19,7.0
2008-01-01,Selangor,15-19,8.0
2009-01-01,Selangor,15-19,9.0
2010-01-01,Selangor,15-19,9.0
2011-01-01,Selangor,15-19,10.0
2012-01-01,Selangor,15-19,10.0
2013-01-01,Selangor,15-19,9.0
2014-01-01,Selangor,15-19,9.0
2015-01-01,Selangor,15-19,8.0
2016-01-01,Selangor,15-19,7.0
2017-01-01,Selangor,15-19,6.0
2018-01-01,Selangor,15-19,6.02
2019-01-01,Selangor,15-19,5.43
2020-01-01,Selangor,15-19,5.19
2021-01-01,Selangor,15-19,3.64
2022-01-01,Selangor,15-19,3.0
2023-01-01,Selangor,15-19,5.0
2001-01-01,Terengganu,15-19,11.0
2002-01-01,Terengganu,15-19,10.0
2003-01-01,Terengganu,15-19,10.0
2004-01-01,Terengganu,15-19,10.0
2005-01-01,Terengganu,15-19,9.0
2006-01-01,Terengganu,15-19,10.0
2007-01-01,Terengganu,15-19,10.0
2008-01-01,Terengganu,15-19,12.0
2009-01-01,Terengganu,15-19,13.0
2010-01-01,Terengganu,15-19,12.0
2011-01-01,Terengganu,15-19,11.0
2012-01-01,Terengganu,15-19,12.0
2013-01-01,Terengganu,15-19,11.0
2014-01-01,Terengganu,15-19,11.0
2015-01-01,Terengganu,15-19,10.0
2016-01-01,Terengganu,15-19,10.0
2017-01-01,Terengganu,15-19,9.0
2018-01-01,Terengganu,15-19,7.31
2019-01-01,Terengganu,15-19,6.4
2020-01-01,Terengganu,15-19,6.5
2021-01-01,Terengganu,15-19,6.46
2022-01-01,Terengganu,15-19,6.0
2023-01-01,Terengganu,15-19,9.0
2001-01-01,W.P. Kuala Lumpur,15-19,9.0
2002-01-01,W.P. Kuala Lumpur,15-19,8.0
2003-01-01,W.P. Kuala Lumpur,15-19,7.0
2004-01-01,W.P. Kuala Lumpur,15-19,7.0
2005-01-01,W.P. Kuala Lumpur,15-19,6.0
2006-01-01,W.P. Kuala Lumpur,15-19,6.0
2007-01-01,W.P. Kuala Lumpur,15-19,6.0
2008-01-01,W.P. Kuala Lumpur,15-19,6.0
2009-01-01,W.P. Kuala Lumpur,15-19,7.0
2010-01-01,W.P. Kuala Lumpur,15-19,7.0
2011-01-01,W.P. Kuala Lumpur,15-19,7.0
2012-01-01,W.P. Kuala Lumpur,15-19,9.0
2013-01-01,W.P. Kuala Lumpur,15-19,8.0
2014-01-01,W.P. Kuala Lumpur,15-19,10.0
2015-01-01,W.P. Kuala Lumpur,15-19,9.0
2016-01-01,W.P. Kuala Lumpur,15-19,8.0
2017-01-01,W.P. Kuala Lumpur,15-19,7.0
2018-01-01,W.P. Kuala Lumpur,15-19,6.37
2019-01-01,W.P. Kuala Lumpur,15-19,6.71
2020-01-01,W.P. Kuala Lumpur,15-19,5.83
2021-01-01,W.P. Kuala Lumpur,15-19,3.53
2022-01-01,W.P. Kuala Lumpur,15-19,3.0
2023-01-01,W.P. Kuala Lumpur,15-19,5.0
2001-01-01,W.P. Labuan,15-19,24.0
2002-01-01,W.P. Labuan,15-19,16.0
2003-01-01,W.P. Labuan,15-19,18.0
2004-01-01,W.P. Labuan,15-19,16.0
2005-01-01,W.P. Labuan,15-19,14.0
2006-01-01,W.P. Labuan,15-19,18.0
