Year,Income_Median_RM,Income_Mean_RM,CPI_Inflation_Pct,Income_Growth_Pct,Real_Gain_Pct,Real_Gain_Label
1970,166.0,264.0,,,,No data
1974,227.0,362.0,,36.74698795180722,,No data
1976,308.0,505.0,,35.682819383259925,,No data
1979,429.0,678.0,,39.28571428571428,,No data
1984,719.0,1098.0,,67.5990675990676,,No data
1987,738.0,1083.0,,2.6425591098748313,,No data
1989,816.0,1169.0,,10.569105691056912,,No data
1992,1077.0,1566.0,,31.985294117647058,,No data
1995,1377.0,2020.0,,27.85515320334262,,No data
1997,1724.0,2606.0,,25.199709513434996,,No data
1999,1704.0,2472.0,,-1.1600928074245953,,No data
2001,,,1.4083333333333334,0.0,-1.4083333333333334,Inflation won
2002,2049.0,3011.0,1.8,20.246478873239425,18.446478873239425,Income beat inflation
2003,,,1.1083333333333334,0.0,-1.1083333333333334,Inflation won
2004,2211.0,3249.0,1.4083333333333334,7.906295754026349,6.497962420693016,Income beat inflation
2005,,,2.9583333333333335,0.0,-2.9583333333333335,Inflation won
2006,,,3.6083333333333334,0.0,-3.6083333333333334,Inflation won
2007,2552.0,3686.0,2.033333333333333,15.422885572139311,13.389552238805978,Income beat inflation
2008,,,5.425,0.0,-5.425,Inflation won
2009,2841.0,4025.0,0.6583333333333333,11.324451410658298,10.666118077324965,Income beat inflation
2010,,,1.5916666666666666,0.0,-1.5916666666666666,Inflation won
2011,,,3.183333333333333,0.0,-3.183333333333333,Inflation won
2012,3626.0,5000.0,1.675,27.63111580429427,25.95611580429427,Income beat inflation
2013,,,2.091666666666667,0.0,-2.091666666666667,Inflation won
2014,4585.0,6141.0,3.158333333333333,26.44787644787645,23.289543114543115,Income beat inflation
2015,,,2.1,0.0,-2.1,Inflation won
2016,5228.0,6958.0,2.075,14.023991275899682,11.948991275899683,Income beat inflation
2017,,,3.7916666666666665,0.0,-3.7916666666666665,Inflation won
2018,,,0.9833333333333333,0.0,-0.9833333333333333,Inflation won
2019,5873.0,7901.0,0.6666666666666666,12.337413925019124,11.670747258352458,Income beat inflation
2020,5209.0,7089.0,-1.1416666666666666,-11.305976502639192,-10.164309835972524,Inflation won
2021,,,2.4916666666666667,0.0,-2.4916666666666667,Inflation won
2022,6338.0,8479.0,3.3833333333333333,21.674025724707246,18.290692391373913,Income beat inflation
2023,,,2.5,0.0,-2.5,Inflation won
2024,,,1.8333333333333333,0.0,-1.8333333333333333,Inflation won
2025,,,1.3833333333333333,0.0,-1.3833333333333333,Inflation won
2026,,,1.6,0.0,-1.6,Inflation won
