Year,Population_Thousands
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1970,10881.8
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1971,11159.7
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1972,11441.3
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1973,11719.8
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
1974,12001.3
